Date,Price,Open,High,Low,Vol,Change
3/19/2014,1341.5,1357.7,1358.5,1328.6,0.31K,-0.0129
3/18/2014,1359.1,1366.3,1367.5,1351.9,0.55K,-0.0102
3/17/2014,1373.1,1385.8,1392.2,1363.1,0.20K,-0.0044
3/14/2014,1379.2,1376,1387.4,1370.1,0.36K,0.0048
3/13/2014,1372.6,1366,1375.2,1365.8,0.18K,0.0014
3/12/2014,1370.7,1350,1370.7,1349.3,0.29K,0.0175
3/11/2014,1347.1,1341.5,1351.1,1338.8,0.06K,0.0039
3/10/2014,1341.9,1337.2,1343.6,1331.7,2.19K,0.0025
3/7/2014,1338.6,1350.4,1350.4,1332.3,1.52K,-0.0101
3/6/2014,1352.2,1338.6,1352.6,1336,1.95K,0.0086
3/5/2014,1340.7,1335.7,1340.7,1333.5,1.29K,0.0019
3/4/2014,1338.2,1345.6,1345.6,1333.3,1.30K,-0.009
3/3/2014,1350.4,1343,1353.4,1340.7,0.08K,0.0217
2/28/2014,1321.7,1321.7,1325.8,1321.7,132.78K,-0.0077
2/27/2014,1331.9,1331.9,1331.9,1331.9,120.17K,0.0029
2/26/2014,1328,1341.3,1345.6,1322.3,149.70K,-0.0109
2/25/2014,1342.7,1336.4,1343.8,1331.2,125.98K,0.0035
2/24/2014,1338,1325.5,1339.2,1318.7,129.77K,0.0109
2/21/2014,1323.6,1323,1328.8,1315.9,110.10K,0.0051
2/20/2014,1316.9,1311,1325.3,1307.1,129.02K,-0.0027
2/19/2014,1320.4,1322,1323,1308.9,112.26K,-0.003
2/18/2014,1324.4,1318.6,1332.4,1312.3,184.50K,0
2/17/2014,1324.4,1318.6,1332.4,1312.3,184.50K,0.0044
2/14/2014,1318.6,1302.2,1321.5,1299.9,150.66K,0.0142
2/13/2014,1300.1,1290.8,1303,1286.2,126.05K,0.0039
2/12/2014,1295,1290.1,1296.4,1283.9,111.44K,0.004
2/11/2014,1289.8,1274.2,1294.4,1273.5,154.73K,0.0118
2/10/2014,1274.7,1265.4,1277.8,1264.7,94.77K,0.0093
2/7/2014,1262.9,1256.9,1272,1255.5,136.03K,0.0045
2/6/2014,1257.2,1257.7,1267.5,1252.5,87.89K,0.0002
2/5/2014,1256.9,1254.2,1274.5,1251.8,127.06K,0.0046
2/4/2014,1251.2,1257.9,1260.7,1246.8,93.15K,-0.0069
2/3/2014,1259.9,1242,1266.1,1240.4,124.75K,0.0162
1/31/2014,1239.8,1244,1254.8,1238.2,116.15K,-0.0022
1/30/2014,1242.5,1267.2,1267.8,1237.5,163.62K,-0.0156
1/29/2014,1262.2,1251.1,1269.8,1249.7,1.47K,0.0093
1/28/2014,1250.6,1257.4,1260.5,1249.5,0.41K,-0.0102
1/27/2014,1263.5,1271.6,1279.2,1252.1,1.00K,-0.0007
